,Unnamed: 0.1,Unnamed: 0,userid,username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetid,tweetcreatedts,retweetcount,text,hashtags,language,coordinates,favorite_count,is_retweet,original_tweet_id,original_tweet_userid,original_tweet_username,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,quoted_status_id,quoted_status_userid,quoted_status_username,extractedts,neg,neu,pos,compound
5491,11064,11064,1546263516176326657,MriyaReport,"Mriya Report is hosted by international volunteers, we operate independently of any org. We stand in support of Ukraine. As a group we donate to https://t.co/dj0AUcaMPJ",New York,588,15705,1461,2022-07-10 22:44:12.000000,1566710760163647490,2022-09-05 08:52:07,3,"And the quick overview from 🇬🇧MoD @DefenceHQ focuses on fronts other than #Kherson  8/

https://t.co/7ItLuL2ivQ","[{'text': 'Kherson', 'indices': [74, 82]}]",en,,6,False,0,0,,1566710757114478592,1546263516176326656,MriyaReport,True,1566658595923582976,16133530,DefenceHQ,2022-09-05 12:55:54.551011,0.0,1.0,0.0,0.0
13163,27476,27476,18631420,massumeh18,Persistent to the extreme... #FREEPALESTINE #PersianPride 🇮🇷❤️💚🤍 Activist/Human Rights. Crypto-NFT-Stock Enthusiast. Violinist. Dreamer. Lover.  Survivor.,The Moon,3347,3218,53011,2009-01-05 13:28:47.000000,1566811882253590529,2022-09-05 15:33:57,0,Ukraine's prime minister appeals for EU weapons and unity https://t.co/ixfccsBIep via @Barchart $DOWI $IUXX $SPX $SPY #Ukraine,"[{'text': 'Ukraine', 'indices': [118, 126]}]",en,,0,False,0,0,,0,0,,False,0,0,,2022-09-05 18:24:51.619618,0.153,0.847,0.0,-0.4404
975,1612,1612,1470402938853945346,Ngoc_Minh24,"News about the war situation, international political events, funny videos, funny to relax./.",,1544,110,323,2021-12-13 14:40:00.000000,1566606611233517568,2022-09-05 01:58:16,1,"🇺🇦🤜💥💤🇷🇺👹
At least 2 Russian T-72B tanks destroyed and 2 others damaged, during a Ukrainian attack
#UkraineRussiaWar #UkraineUnderAttack #RussiaIsATerroristState #RussianWarCrimes #HIMARS #StandWithUkraine #ukraine #HIMARSOCLOCK #crimea #donbas #SlavaUkraini #kharkiv https://t.co/W1surVO9Fw","[{'text': 'UkraineRussiaWar', 'indices': [98, 115]}, {'text': 'UkraineUnderAttack', 'indices': [116, 135]}, {'text': 'RussiaIsATerroristState', 'indices': [136, 160]}, {'text': 'RussianWarCrimes', 'indices': [161, 178]}, {'text': 'HIMARS', 'indices': [179, 186]}, {'text': 'StandWithUkraine', 'indices': [187, 204]}, {'text': 'ukraine', 'indices': [205, 213]}, {'text': 'HIMARSOCLOCK', 'indices': [214, 227]}, {'text': 'crimea', 'indices': [228, 235]}, {'text': 'donbas', 'indices': [236, 243]}, {'text': 'SlavaUkraini', 'indices': [244, 257]}, {'text': 'kharkiv', 'indices': [258, 266]}]",en,,8,False,0,0,,0,0,,False,0,0,,2022-09-05 18:46:59.848516,0.281,0.719,0.0,-0.8934
12497,26145,26145,1564528914260697088,multipolartime,,,30,1,65,2022-08-30 08:22:25.000000,1566804327943077890,2022-09-05 15:03:56,1,“We don’t want Russian gas”! Ok! Nooo that’s blackmail 😂#carefullwhatyouwishfor #nietmijnoorlog #Ukraine #Russia #Putin #Zelensky #fcknato https://t.co/8cmWLobt8B https://t.co/sjNJ02qpGB,"[{'text': 'carefullwhatyouwishfor', 'indices': [56, 79]}, {'text': 'nietmijnoorlog', 'indices': [80, 95]}, {'text': 'Ukraine', 'indices': [96, 104]}, {'text': 'Russia', 'indices': [105, 112]}, {'text': 'Putin', 'indices': [113, 119]}, {'text': 'Zelensky', 'indices': [120, 129]}, {'text': 'fcknato', 'indices': [130, 138]}]",en,,1,False,0,0,,0,0,,True,1566686661546835968,2885493519,DmytroKuleba,2022-09-05 19:02:49.360330,0.104,0.841,0.055,-0.2924
457,796,796,1557761686588776451,RNBleedsBlue,"Wife,Mom,Meme’ RN soon BSN #LBGTQAlly 🏳️‍🌈 #BLM I removed all political hashtags from my bio due to hackers. Let’s just say I’m a Democrat 🌊💙",Upstate New York,4173,3937,462,2022-08-11 16:12:38.000000,1566590693128159234,2022-09-05 00:55:01,0,@donkoclock @gymshortsjordan @Iamthewaulrus @s_levk @hardboiledblue @_Peace_Love_US @MrsDressell @BflyEnchantress @AricForMN @carynell271 @noniceguyleft @Scotswoman06 @Suzulee33 @jadebutterfiel8 @Bolstelp @purgetraitors @Indyboy495 @mspl71 @aolanisausalito Following everyone. #Biden #VoteBlue,"[{'text': 'Biden', 'indices': [277, 283]}, {'text': 'VoteBlue', 'indices': [284, 293]}]",en,,3,False,0,0,,1566588170178740224,1502201830255824896,donkoclock,False,0,0,,2022-09-05 07:45:54.253053,0.0,1.0,0.0,0.0
18274,38457,38457,438048452,IndieAveri,"Searching for innovative startups & tech, inspiring posts & top business practices.  Also, I post timely human rights topics. #StandWithUkraine 笑顔",US,2357,2730,20699,2011-12-16 03:51:58.000000,1566879467708235777,2022-09-05 20:02:30,0,"@IAPonomarenko You too, Illia &amp; all in Ukraine. #StandWithUkraine","[{'text': 'StandWithUkraine', 'indices': [52, 69]}]",en,,6,False,0,0,,1566876621373571072,262219168,IAPonomarenko,False,0,0,,2022-09-06 01:32:11.398859,0.0,1.0,0.0,0.0
11546,24150,24150,392806435,junkedjunkie,"одеські мусора отруїли мене новічком і все людське в мені здохло, залишився гниючий шматок мозоку припаяний до телефону з тві","Ukraine, 0D35@",200,52,7455,2011-10-17 16:04:45.000000,1566792898166808576,2022-09-05 14:18:31,0,"@FartherPhteven 2014 events are out of question as if there was no life before. 

It's the time when we remined to whom the street belongs. Remined that driving power of Ukraine is not doctors, cops, soldiers, politicians, teachers, etc. It's small and midsize businessmen. 
For them we revolt!",[],en,,1,False,0,0,,1566791803998806016,1519012532270383104,FartherPhteven,False,0,0,,2022-09-06 01:15:58.087575,0.05,0.95,0.0,-0.3595
6098,12476,12476,49085614,NordicElk,"Citizen of planet Earth - Stay calm, be realistic, be fair, be open-minded, no nationalism, no ideology, no bullshit 😎 🇸🇪 🇪🇺 🇺🇦",Europe,627,121,27303,2009-06-20 19:04:25.000000,1566720194025689088,2022-09-05 09:29:37,0,"What is wrong with #Macron - again?

#Putin does not want any communication, he wants to destroy #Ukraine and eradicate their people.

#Putin and #Russia MUST be DEFETAED. This is the only way to lasting #peace, #freedom and #democracy in #Europe. 

@EmmanuelMacron @Bundeskanzler https://t.co/xOtqvQpz01","[{'text': 'Macron', 'indices': [19, 26]}, {'text': 'Putin', 'indices': [37, 43]}, {'text': 'Ukraine', 'indices': [97, 105]}, {'text': 'Putin', 'indices': [135, 141]}, {'text': 'Russia', 'indices': [146, 153]}, {'text': 'peace', 'indices': [204, 210]}, {'text': 'freedom', 'indices': [212, 220]}, {'text': 'democracy', 'indices': [225, 235]}, {'text': 'Europe', 'indices': [239, 246]}]",en,,1,False,0,0,,0,0,,True,1566575126514106368,544732668,KyleWOrton,2022-09-05 13:40:59.205968,0.143,0.715,0.141,0.2211
4753,9362,9362,767704970741313536,RychterAnde,"Physicist • European • Shuttle engineer • Alpinist • Skipper • Polyglot • Foil Fencer • Editor, Daily Detox • La main derière @SevigneMarquise",On VPN,909,568,17239,2016-08-22 12:48:23.000000,1566697712975749120,2022-09-05 08:00:17,0,"@PaulFlaherty5 @general_ben Possibly. But the good news is that maintaining nuclear weapons is very expensive. A sanctioned Russia, in the long term, may not be able to afford it. #Ukraine #Georgia","[{'text': 'Ukraine', 'indices': [180, 188]}, {'text': 'Georgia', 'indices': [189, 197]}]",en,,0,False,0,0,,1566513545243762688,591856995,PaulFlaherty5,False,0,0,,2022-09-05 10:53:35.908263,0.105,0.79,0.105,0.0
18845,39801,39801,1425255446798077955,LuureAmet,"TeabeAmet AjaLugu

Mikk Marran: @MarrMikk
MoD Estonia: @MoD_Estonia @kaitsemin
Grand Lodge: @glestonia
President: @KerstiKaljulaid
Primeminister: @kajakallas",Estonia - EstLand - Eesti,5006,270,7046,2021-08-11 00:39:29.000000,1566888614302285824,2022-09-05 20:38:51,1,"@fellarific @ivanterrible311 Roman Empire does, Vikings, &amp; other criminals who invaded that land / union that is called Russia Federation now do
(Ru is similar structure as EU/USA, just MORE colorful &amp; diverse. 
There is #Republic s inside #Russia, Krais &amp; much more as you hopefully know), 
but, its also Gov https://t.co/w0kXzI714x","[{'text': 'Republic', 'indices': [229, 238]}, {'text': 'Russia', 'indices': [248, 255]}]",en,,0,False,0,0,,1566884471609053184,1549482023114354688,fellarific,False,0,0,,2022-09-06 01:17:14.656363,0.043,0.92,0.036,-0.0946
